origin,destination,departure_date,price
VAR,MUC,2025-08-01,135.99
VAR,BUD,2025-08-01,146.0
VAR,LIS,2025-08-01,152.99
VAR,BLA,2025-08-01,565.0
VAR,WMI,2025-08-01,291.57
VAR,POZ,2025-08-01,169.0
VAR,CPH,2025-08-01,136.99
VAR,BML,2025-08-01,136.99
TLL,INI,2025-08-01,201.0
TLL,AAH,2025-08-01,201.0
TLL,LUZ,2025-08-01,143.99
TLL,TSR,2025-08-01,120.97
TLL,CBP,2025-08-01,120.97
TLL,VAR,2025-08-01,199.0
TLL,LCJ,2025-08-01,284.99
TLL,TBS,2025-08-01,158.99
TLL,VNO,2025-08-01,54.48
TLL,DBV,2025-08-01,148.0
TLL,LJU,2025-08-01,108.97
TLL,SPU,2025-08-01,158.0
TLL,OPO,2025-08-01,180.99
TLL,MMI,2025-08-01,180.99
TLL,ZAD,2025-08-01,161.99
TLL,HEL,2025-08-01,84.7
TLL,YXU,2025-08-01,677.0
TLL,PRG,2025-08-01,73.21
TLL,MUC,2025-08-01,94.9
TLL,BUD,2025-08-01,93.0
TLL,LIS,2025-08-01,124.99
TLL,BLA,2025-08-01,457.83
TLL,WMI,2025-08-01,330.71
TLL,POZ,2025-08-01,121.97
TLL,CPH,2025-08-01,63.85
TLL,BML,2025-08-01,63.85
LCJ,TSR,2025-08-01,258.36
LCJ,CBP,2025-08-01,258.36
LCJ,VAR,2025-08-01,217.76
LCJ,TLL,2025-08-01,169.2
LCJ,TBS,2025-08-01,202.07
LCJ,VNO,2025-08-01,245.19
LCJ,LJU,2025-08-01,184.66
LCJ,SPU,2025-08-01,245.17
LCJ,OPO,2025-08-01,170.46
LCJ,MMI,2025-08-01,170.46
LCJ,HEL,2025-08-01,204.89
LCJ,YXU,2025-08-01,766.75
LCJ,PRG,2025-08-01,115.14
LCJ,MUC,2025-08-01,117.26
LCJ,BUD,2025-08-01,192.15
LCJ,LIS,2025-08-01,184.19
LCJ,BLA,2025-08-01,510.89
LCJ,POZ,2025-08-01,194.41
LCJ,CPH,2025-08-01,104.18
LCJ,BML,2025-08-01,104.18
TBS,INI,2025-08-01,97.5
TBS,AAH,2025-08-01,97.5
TBS,LUZ,2025-08-01,149.0
TBS,TSR,2025-08-01,133.18
TBS,CBP,2025-08-01,133.18
TBS,VAR,2025-08-01,161.9
TBS,TLL,2025-08-01,100.9
TBS,LCJ,2025-08-01,271.35
TBS,VNO,2025-08-01,152.0
TBS,DBV,2025-08-01,172.3
TBS,LJU,2025-08-01,106.0
TBS,SPU,2025-08-01,158.0
TBS,OPO,2025-08-01,198.26
TBS,MMI,2025-08-01,198.26
TBS,ZAD,2025-08-01,197.25
TBS,HEL,2025-08-01,98.0
TBS,YXU,2025-08-01,624.66
TBS,PRG,2025-08-01,110.9
TBS,MUC,2025-08-01,81.9
TBS,BUD,2025-08-01,67.82
TBS,LIS,2025-08-01,159.9
TBS,BLA,2025-08-01,502.0
TBS,WMI,2025-08-01,341.49
TBS,POZ,2025-08-01,158.0
TBS,CPH,2025-08-01,73.19
TBS,BML,2025-08-01,73.19
VNO,INI,2025-08-01,144.0
VNO,AAH,2025-08-01,144.0
VNO,LUZ,2025-08-01,102.0
VNO,TSR,2025-08-01,119.9
VNO,CBP,2025-08-01,119.9
VNO,VAR,2025-08-01,171.4
VNO,TLL,2025-08-01,51.93
VNO,LCJ,2025-08-01,242.27
VNO,TBS,2025-08-01,156.87
VNO,DBV,2025-08-01,179.9
VNO,LJU,2025-08-01,88.54
VNO,SPU,2025-08-01,152.99
VNO,OPO,2025-08-01,153.0
VNO,MMI,2025-08-01,153.0
VNO,ZAD,2025-08-01,166.0
VNO,HEL,2025-08-01,65.55
VNO,YXU,2025-08-01,650.99
VNO,PRG,2025-08-01,71.51
VNO,MUC,2025-08-01,99.97
VNO,BUD,2025-08-01,25.99
VNO,LIS,2025-08-01,111.9
VNO,BLA,2025-08-01,461.0
VNO,WMI,2025-08-01,271.57
VNO,POZ,2025-08-01,111.0
VNO,CPH,2025-08-01,49.53
VNO,BML,2025-08-01,49.53
DBV,INI,2025-08-01,181.0
DBV,AAH,2025-08-01,181.0
DBV,LUZ,2025-08-01,244.0
DBV,TSR,2025-08-01,149.0
DBV,CBP,2025-08-01,149.0
DBV,VAR,2025-08-01,248.0
DBV,TLL,2025-08-01,165.0
DBV,LCJ,2025-08-01,382.99
DBV,TBS,2025-08-01,200.9
DBV,VNO,2025-08-01,165.99
DBV,LJU,2025-08-01,170.0
DBV,SPU,2025-08-01,67.9
DBV,OPO,2025-08-01,176.0
DBV,MMI,2025-08-01,176.0
