1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness_level,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country_x,city,IATA,rank,overall_score,cost_score,internet_score,like_score,temperature_c,temperature_f,feels_like_c,feels_like_f,internet_speed_mbps,monthly_cost_usd,monthly_cost_cents,image_url
478,2,25,1495,1.9743188538751584,2.19,1.61,2,1287,709,2,2,4,3,2,3,41,3,3,3,3,2.6358529613249706,0,1,3,3,4,4,4.25,Europe,Slovenia,ljubljana,LJU,24,3.05,2.5542857142857143,2.8285714285714283,5,22,72,22,72,37,3640,3640,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/ljubljana-slovenia.jpg?1705449694"
394,2,20,4697,3,2.09,1.63,1,2086,636,3,2,3,2,2,3,13,2,2,3,3,2,0,0,3,3,4,4,3.85,Europe,Croatia,split,SPU,60,2.9300000000000006,3.728,1.5571428571428574,4.583333333333333,21,70,21,70,14,2613,2613,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/split-croatia.jpg?1738022424"
604,3,19,1769,3,1.17,0.9,2,1279,719,3,3,3,2,2,4,38,3,3,4,3,3,0,1,3,3,4,4,4.48,Europe,Portugal,porto,OPO,49,2.95,3.017142857142857,2.0357142857142856,3.461538461538461,18,64,18,64,23,3235,3235,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/porto-portugal.jpg?1733961625"
314,3,40,1068,1,1.58,3.85,2,1344,810,3,1,3,4,2,4,9,2,3,3,3,2,0,1,4,3,4,4,4.31,Europe,Greece,athens,MMI,67,2.9100000000000006,2.994285714285714,1.457142857142857,4.444444444444445,21,70,21,70,13,3255,3255,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/athens-greece.jpg?1720483220"
324,2,19,3477,3,0.53,1.29,2,1312,434,3,2,3,1,2,3,13,1,1,3,3,1,0,0,4,3,4,4,4.15,Europe,Croatia,zadar,ZAD,40,2.9799999999999995,4.164571428571429,1.7285714285714289,5,21,70,21,70,17,2231,2231,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/zadar-croatia.jpg?1709769715"
1547,2,19,2074,1,2.21,3.93,1,2369,1591,4,4,4,3,4,3,22,4,3,4,3,3,0,1,3,4,4,4,4.19,Europe,Finland,helsinki,HEL,90,2.88,2.3600000000000003,2.185714285714286,4.666666666666666,8,46,8,46,25,3810,3810,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/helsinki-finland.jpg?1706140831"
2616,3,22,2562,3,1.99,3.2,1,3001,2168,3,2,3,4,3,2,16,3,4,3,3,3,0,1,3,4,4,4,4.53,Europe,United Kingdom,london,YXU,44,2.97,1,1.9857142857142855,3.1818181818181817,21,70,21,70,22,5962,5962,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/london-united-kingdom.jpg?1705795285"
603,2,17,1251,3,1.58,2.43,2,1370,848,4,3,3,3,3,4,36,3,3,3,3,2,0,1,4,4,4,4,4.56,Europe,Spain,valencia,VLN,91,2.88,2.8262857142857145,2.6,4.25,21,70,21,70,33,3402,3402,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/valencia-spain.jpg?1705795228"
713,3,27,1739,2,1.47,2.25,2,1395,881,4,2,3.056887001919671,4,3.069371615,3,24,3,4,3,3,2,0,1,3,3,4,4,4.55,Europe,Czechia,prague,PRG,41,2.9799999999999995,2.5588571428571427,2.007142857142857,4.6875,23,73,23,73,22,3636,3636,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/prague-czechia.jpg?1705622429"
1118,2,20,2440,1,2.61,3.07,1,2321,1439,4,3,4,3,3,3,29,4,4,4,3,3,0,1,4,3,4,4,3.95,Europe,Germany,munich,MUC,97,2.87,1,2.257142857142857,4.62962963,23,73,23,73,27,5021,5021,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/munich-germany.jpg?1709769632"
1208,2,29,2257,3,0.94,1.28,2,1792,1211,3,2,2,3,2,2,37,1,3,3,3,2,1,0,3,3,4,4,4.93,Europe,Hungary,budapest,BUD,63,2.9300000000000006,3.738285714285715,2.8571428571428568,4.285714285714286,23,73,23,73,37,2604,2604,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/budapest-hungary.jpg?1705536037"
754,3,24,2379,3,1.3,1.29,2,1602,871,3,3,3,3,2,4,30,3,3,4,3,3,0,1,4,3,4,4,4.46,Europe,Portugal,lisbon,LIS,5,3.4199999999999995,2.218285714285714,2.2285714285714286,2.0642201834862397,18,64,18,64,26,3934,3934,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/lisbon-portugal.jpg?1705449625"
1085,3,24,1952,3,2.19,2.27,1,2021,1301,3,3,2,3,3,4,29,3,3,3,3,2,0,1,3,4,4,4,4.029474577106795,Europe,Spain,barcelona,BLA,17,3.13,1,2.6,2.727272727272727,21,70,21,70,33,5175,5175,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/barcelona-spain.jpg?1705795235"
536,2,33,976,2,1.02,2.01,3,1080,724,3,2,3,4,2,3,28,2,3,3,3,2,0,1,4,3,4,4,4.11,Europe,Poland,warsaw,WMI,15,3.14,3.210285714285715,2.0928571428571425,4.4,21,70,21,70,24,3066,3066,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/warsaw-poland.jpg?1705708829"
389,2,27,915,2,0.93,1.97,3,891,580,2,2,2,2,2,3,29,1,2,3,3,2,0,1,3,3,4,4,4.089206639380559,Europe,Poland,poznan,POZ,88,2.88,3.4262857142857137,2.0928571428571425,5,22,72,22,72,24,2877,2877,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/poznan-poland.jpg?1711843308"
1547,2,27,2959,2,3.17,5.79,1,3489,2495,4,4,3,3,4,3,41,3,3,4,3,4,0,1,4,4,4,4,4.33,Europe,Denmark,copenhagen,CPH,89,2.88,1,3.35,4.583333333333333,13,55,13,55,46,5797,5797,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/copenhagen-denmark.jpg?1705622563"
844,3,24,1983,1,2.23,3.38,2,1823,1157,4,3,3,3,3,3,28,4,3,4,3,3,0,1,4,4,4,4,4.53,Europe,Germany,berlin,BML,12,3.18,1.568,2.257142857142857,3.333333333333333,24,75,24,75,27,4503,4503,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/berlin-germany.jpg?1705881640"
